Voltage,Frequency
-5.0,4.0
-4.898989898989899,4.0606060606060606
-4.797979797979798,4.121212121212121
-4.696969696969697,4.181818181818182
-4.595959595959596,4.242424242424242
-4.494949494949495,4.303030303030303
-4.393939393939394,4.363636363636363
-4.292929292929293,4.424242424242424
-4.191919191919192,4.484848484848484
-4.090909090909091,4.545454545454545
-3.9898989898989896,4.606060606060606
-3.888888888888889,4.666666666666667
-3.787878787878788,4.7272727272727275
-3.686868686868687,4.787878787878788
-3.5858585858585856,4.848484848484849
-3.484848484848485,4.909090909090909
-3.383838383838384,4.96969696969697
-3.282828282828283,5.03030303030303
-3.1818181818181817,5.090909090909091
-3.080808080808081,5.151515151515151
-2.9797979797979797,5.212121212121212
-2.878787878787879,5.2727272727272725
-2.7777777777777777,5.333333333333334
-2.676767676767677,5.3939393939393945
-2.5757575757575757,5.454545454545455
-2.474747474747475,5.515151515151516
-2.3737373737373737,5.575757575757576
-2.272727272727273,5.636363636363637
-2.1717171717171717,5.696969696969697
-2.070707070707071,5.757575757575758
-1.9696969696969697,5.818181818181818
-1.868686868686869,5.878787878787879
-1.7676767676767677,5.9393939393939394
-1.6666666666666665,6.0
-1.5656565656565657,6.0606060606060606
-1.4646464646464645,6.121212121212121
-1.3636363636363638,6.181818181818182
-1.2626262626262625,6.242424242424242
-1.1616161616161618,6.303030303030303
-1.0606060606060606,6.363636363636363
-0.9595959595959593,6.424242424242424
-0.858585858585859,6.484848484848484
-0.7575757575757578,6.545454545454545
-0.6565656565656566,6.6060606060606055
-0.5555555555555554,6.666666666666667
-0.45454545454545503,6.7272727272727275
-0.3535353535353538,6.787878787878788
-0.2525252525252526,6.848484848484849
-0.15151515151515138,6.909090909090909
-0.050505050505050164,6.96969696969697
0.050505050505050164,7.03030303030303
0.15151515151515138,7.090909090909091
0.2525252525252526,7.151515151515151
0.3535353535353538,7.212121212121213
0.45454545454545414,7.272727272727273
0.5555555555555554,7.333333333333334
0.6565656565656566,7.3939393939393945
0.7575757575757578,7.454545454545455
0.8585858585858581,7.515151515151516
0.9595959595959593,7.575757575757576
1.0606060606060606,7.636363636363637
1.1616161616161618,7.696969696969697
1.262626262626262,7.757575757575758
1.3636363636363633,7.818181818181818
1.4646464646464645,7.878787878787879
1.5656565656565657,7.9393939393939394
1.666666666666667,8.0
1.7676767676767673,8.06060606060606
1.8686868686868685,8.121212121212121
1.9696969696969697,8.181818181818182
2.070707070707071,8.242424242424242
2.1717171717171713,8.303030303030303
2.2727272727272725,8.363636363636363
2.3737373737373737,8.424242424242426
2.474747474747475,8.484848484848484
2.5757575757575752,8.545454545454547
2.6767676767676765,8.606060606060606
2.7777777777777777,8.666666666666668
2.878787878787879,8.727272727272727
2.9797979797979792,8.787878787878789
3.0808080808080813,8.848484848484848
3.1818181818181817,8.90909090909091
3.282828282828282,8.969696969696969
3.383838383838384,9.030303030303031
3.4848484848484844,9.09090909090909
3.5858585858585865,9.151515151515152
3.686868686868687,9.212121212121211
3.787878787878787,9.272727272727273
3.8888888888888893,9.333333333333334
3.9898989898989896,9.393939393939394
4.09090909090909,9.454545454545455
4.191919191919192,9.515151515151516
4.292929292929292,9.575757575757576
4.3939393939393945,9.636363636363637
4.494949494949495,9.696969696969697
4.595959595959595,9.757575757575758
4.696969696969697,9.818181818181818
4.797979797979798,9.878787878787879
4.8989898989899,9.93939393939394
5.0,10.0
