Voltage 1,Frequency 1,Voltage 2,"Frequency 2, Middle Frequency Index, Separator Slope"
0.055,4.485020410785201,0.055,4.517477006205012,100,2.0
0.0558,4.486659908126163,0.0558,4.516012006198947
0.0566,4.488559594547302,0.0566,4.516500000000001
0.0574,4.490244437650401,0.0574,4.517634235157435
0.0582,4.4919458349767245,0.0582,4.518473390273059
0.059,4.49338418966695,0.059,4.518468162862406
0.0598,4.494899159241059,0.0598,4.518742110631327
0.0606,4.496219270129882,0.0606,4.519832498533477
0.061399999999999996,4.497639726878058,0.061399999999999996,4.520839190841419
0.0622,4.498990872988487,0.0622,4.5212805866838615
0.063,4.499822252404888,0.063,4.521718773896951
0.0638,4.501216720494105,0.0638,4.522704695928917
0.0646,4.502148542165405,0.0646,4.523577958512731
0.0654,4.503149141684197,0.0654,4.525346755502663
0.0662,4.503893850899447,0.0662,4.526582318244438
0.067,4.504739148704547,0.067,4.527921267390398
0.0678,4.50512923820344,0.0678,4.5288266488208775
0.0686,4.505539811837622,0.0686,4.530016557968849
0.0694,4.505893967109478,0.0694,4.531780404707745
0.0702,4.506990848285729,0.0702,4.533257712796167
0.071,4.5065,0.071,4.534511551547435
0.0718,4.507554080795805,0.0718,4.536372501879018
0.0726,4.507969684194454,0.0726,4.537767704970142
0.07339999999999999,4.508371545329338,0.07339999999999999,4.53920175355905
0.0742,4.508529377765857,0.0742,4.541005009183843
0.075,4.509009879333065,0.075,4.54252243652371
