Voltage 1,Frequency 1,Voltage 2,"Frequency 2, Middle Frequency Index, Separator Slope"
0.057,4.5410534200855475,0.057,4.558646726103318,55,1.0
0.05752,4.5419048824130615,0.05752,4.559117136116582
0.05804,4.542888845361067,0.05804,4.559
0.05856,4.544080886573128,0.05856,4.559572694229746
0.05908,4.545025987903266,0.05908,4.5600300827953095
0.0596,4.546201245590099,0.0596,4.560067848291168
0.06012000000000001,4.546940551462219,0.06012000000000001,4.560419012347723
0.06064,4.547922941080421,0.06064,4.560836008904506
0.061160000000000006,4.548749145622289,0.061160000000000006,4.561173116266113
0.061680000000000006,4.549558673797394,0.061680000000000006,4.561509333418937
0.062200000000000005,4.5502907016085095,0.062200000000000005,4.562219685122294
0.06272,4.551030752608674,0.06272,4.562555300007079
0.06324,4.551593971521695,0.06324,4.563152958994758
0.06376000000000001,4.552335916811949,0.06376000000000001,4.5638243553559
0.06428,4.5528848696002955,0.06428,4.5646824429019
0.06480000000000001,4.5530414162048025,0.06480000000000001,4.565481791657003
0.06532,4.553697887673768,0.06532,4.566301425704002
0.06584000000000001,4.553842245541577,0.06584000000000001,4.567086438345829
0.06636,4.554134334523675,0.06636,4.567982920390397
0.06688000000000001,4.554391663825661,0.06688000000000001,4.56897652101268
0.0674,4.5538,0.0674,4.5700026833089815
0.06792000000000001,4.555137942726853,0.06792000000000001,4.571065719850473
0.06844,4.554782477469345,0.06844,4.572079759146665
0.06896000000000001,4.555097398777463,0.06896000000000001,4.573464506521304
0.06948000000000001,4.555308208007162,0.06948000000000001,4.574999999999999
0.07,4.5559262280893735,0.07,4.574999999999992
